Species	Species.1	symbol	size	colour	border	width	architecture
daLycEuro1.1	daLycEuro1.1	circle	2	#8338ec	yes	1	Satellite/transposon
daScuGale1.1	daScuGale1.1	circle	2	#ff006e	yes	1	Satellite
daBalNigr1.1	daBalNigr1.1	circle	2	#ff006e	yes	1	Satellite
daMisOron1.1	daMisOron1.1	circle	2	#ff006e	yes	1	Satellite
daLinVulg1.1	daLinVulg1.1	circle	2	#ff006e	yes	1	Satellite
daSheArve1.1	daSheArve1.1	circle	2	#ff006e	yes	1	Satellite
daSolDulc1.1	daSolDulc1.1	circle	2	#3a86ff	yes	1	Transposon
pxEimPrae1.1	pxEimPrae1.1	rectangle	2	#808080	yes	1	Unknown
pEimTen1.1	pEimTen1.1	rectangle	2	#808080	yes	1	Monocentric sequence unknown
paTetJugo1.1	paTetJugo1.1	rectangle	2	#808080	yes	1	Unknown
