fam,n,tot.bp,width,gc%,trash.fam,taxa,fasta,chrs,genome.bp,genome.gc,clade1,clade2,genus,spp
kaaplturb.162,85503,13807156,162,0.21425119,156_1,chordate,kaAplTurb1.1.fa,18,605415736,37.6,Tunicata,Ascidiacea,Aplidium,turbinatum
falosap.174,34536,5967898,174,0.275992443,172_1,chordate,fAloSap1.1.fa,24,897979527,42.98,Actinopterygii,Clupeiformes,Alosa,sapidissima
fbarbab.255,37755,9572943,255,0.339536187,254_1,chordate,fBarBab1.1.fa,50,1580796296,37.88,Actinopterygii,Cypriniformes,Barbus,barbus
fdanrer.185,80307,14804948,185,0.349559721,186_2,chordate,fDanRer4.1.fa,25,1411521271,37.07,Actinopterygii,Cypriniformes,Danio,rerio
ftratra.188,6659,1199732,181,0.409308253,190_3,chordate,fTraTra1.2.fa,24,790723879,41.94,Actinopterygii,Carangiformes,Trachurus,trachurus
ftaubub.185,28595,5275162,185,0.351308958,186_1,chordate,fTauBub2.1.fa,21,614935197,42.21,Actinopterygii,Perciformes,Taurulus,bubalis
fphogun.191,2907,551614,191,0.359046917,186_6,chordate,fPhoGun1.2.fa,24,585911863,42.25,Actinopterygii,Perciformes,Pholis,gunnellus
fthualb.126,7328,913210,126,0.453614184,127_4,chordate,fThuAlb1.1.fa,24,789894810,39.72,Actinopterygii,Scombriformes,Thunnus,albacares
fthumac.126,2582,323435,126,0.393931601,127_6,chordate,fThuMac1.1.fa,24,777694220,39.7,Actinopterygii,Scombriformes,Thunnus,maccoyii
bcorhaw.1398,12791,17904812,1401,0.556600721,1451_1,chordate,bCorHaw1.1.fa,43,1130345552,43.01,Aves,Passeriformes,Corvus,hawaiiensis
bcorhaw.917,3603,3279836,911,0.525610201,1104_6,chordate,bCorHaw1.1.fa,43,1130345552,43.01,Aves,Passeriformes,Corvus,hawaiiensis
bporhoc.190,70741,13398717,190,0.499508287,191_1,chordate,bPorHoc1.1.fa,34,1205419206,43.36,Aves,Gruiformes,Porphyrio,hochstetteri
baccgen.172,112507,19378558,173,0.546691416,173_1,chordate,bAccGen1.1.fa,40,1267667460,42.56,Aves,Accipitriformes,Accipiter,gentilis
bfalper.174,58861,10180056,174,0.50101383,174_2,chordate,bFalPer1.1.fa,23,1216967975,42.24,Aves,Falconiformes,Falco,peregrinus
bfalbia.174,27005,4671788,174,0.498123079,174_1,chordate,bFalBia1.1.fa,24,1200130249,42.17,Aves,Falconiformes,Falco,biarmicus
bfalche.174,137248,23736679,174,0.501127717,174_1,chordate,bFalChe1.1.fa,24,1215074843,42.41,Aves,Falconiformes,Falco,cherrug
bgalgal.42,21867,942297,44,0.386718828,42_1,chordate,bGalGal1.GRCg7b.fa,41,1041122857,41.95,Aves,Galliformes,Gallus,gallus
blagmut.2081,947,1988875,2101,0.40076585,2561_3,chordate,bLagMut1.1.fa,40,1013513749,41.51,Aves,Galliformes,Lagopus,muta
rviplat.168,50688,8454551,168,0.407313926,168_2,chordate,rVipLat1.1.fa,18,1620131368,40.87,Reptilia,Serpentes,Vipera,latastei
melemax.846,32556,27520803,846,0.535322244,848_2,chordate,mEleMax1.1.fa,29,3369292286,41.07,Mammalia,Elephantidae,Elephas,maximus
mlemcat.40,806044,31621978,40,0.47359424,41_1,chordate,mLemCat1.1.fa,29,2172678573,41.12,Mammalia,Lemuridae,Lemur,catta
mdicbic.228,335103,75988330,228,0.394144142,228_1,chordate,mDicBic1.1.fa,42,2609253203,40.94,Mammalia,Rhinocerotidae,Diceros,bicornis
mcanlor.735,22116,16217138,734,0.508414218,738_1,chordate,mCanLor1.2.fa,40,2417703804,41.38,Mammalia,Canidae,Canis,lupus
mmelmel.143,87864,12390510,142,0.473633975,138_1,chordate,mMelMel3.2.fa,23,2606051894,42.01,Mammalia,Mustelidae,Meles,meles
morcroc.167,89516,14824247,167,0.572367451,168_1,chordate,mOrcOrc1.1.fa,22,2482232656,41.6,Mammalia,Delphinidae,Orcinus,orca
morcroc.535,11123,5942782,535,0.571409851,593_2,chordate,mOrcOrc1.1.fa,22,2482232656,41.6,Mammalia,Delphinidae,Orcinus,orca
mcerela.795,224055,177985498,795,0.541107281,796_1,chordate,mCerEla1.1.fa,34,2771818003,42.6,Mammalia,Cervidae,Cervus,elaphus
mrhisin.880,42165,37062173,880,0.510079363,1055_1,chordate,mRhiSin1.1.fa,18,2309334437,41.53,Mammalia,Rhinolophidae,Rhinolophus,sinicus
mrhisin.4778,6187,29523575,4773,0.488889249,5437_3,chordate,mRhiSin1.1.fa,18,2309334437,41.53,Mammalia,Rhinolophidae,Rhinolophus,sinicus
mrhisin.1051,7129,7527856,1057,0.45601068,1282_5,chordate,mRhiSin1.1.fa,18,2309334437,41.53,Mammalia,Rhinolophidae,Rhinolophus,sinicus
mrhisin.1397,587,819447,1397,0.509130373,1465_10,chordate,mRhiSin1.1.fa,18,2309334437,41.53,Mammalia,Rhinolophidae,Rhinolophus,sinicus
mrhisin.2100,5670,9563955,1688,0.445688624,5145_4,chordate,mRhiSin1.1.fa,18,2309334437,41.53,Mammalia,Rhinolophidae,Rhinolophus,sinicus
laaliplan.495,4223,2091021,496,0.379558013,538_5,planta,laAliPlan1.1.fa,7,9358377961,38.06,Monocots,Alismatales,Alisma,plantago-aquatica
laapodist.206,259867,53264786,206,0.475124802,208_17,planta,laApoDist1.hap1.1.fa,18,4284678780,40.32,Monocots,Alismatales,Aponogeton,distachyos
lapotnata.143,39033,5555228,143,0.570451116,145_7,planta,laPotNata1.hap1.1.fa,25,566936711,37.29,Monocots,Alismatales,Potamogeton,natans
latrimari.1120,8357,9349950,1120,0.4891313,1187_3,planta,laTriMari1.1.fa,24,1055183918,40.02,Monocots,Alismatales,Triglochin,maritima
latrimari.2663,7791,20764574,2666,0.411337846,5591_21,planta,laTriMari1.1.fa,24,1055183918,40.02,Monocots,Alismatales,Triglochin,maritima
lsirifoet.434,281687,122004277,434,0.281960776,448_2,planta,lsIriFoet1.hap1.1.fa,20,6845016923,40.5,Monocots,Asparagales,Iris,foetidissima
lpdigsang.176,62196,10872574,176,0.48255525,178_2,planta,lpDigSang1.hap1.1.fa,18,896995560,45.76,Monocots,Poales,Digitaria,sanguinalis
lpdigsang.156,42551,6587758,156,0.440772655,159_1,planta,lpDigSang1.hap1.1.fa,18,896995560,45.76,Monocots,Poales,Digitaria,sanguinalis
lpleeoryz.107,96980,10277557,107,0.447827546,101_2,planta,lpLeeOryz1.hap1.1.fa,24,756775504,44.71,Monocots,Poales,Leersia,oryzoides
lpphlprat.83,150363,12310449,83,0.381278799,83_3,planta,lpPhlPrat1.hap1.1.fa,7,1368575460,45.75,Monocots,Poales,Phleum,pratense
lpjuneffu.152,131167,19799845,152,0.282745221,147_1,planta,lpJunEffu1.1.fa,21,238972964,32.79,Monocots,Poales,Juncus,effusus
lpjuneffu.167,19603,3255968,167,0.246916681,182_5,planta,lpJunEffu1.1.fa,21,238972964,32.79,Monocots,Poales,Juncus,effusus
lpjuneffu.357,13173,4689960,357,0.356970561,365_4,planta,lpJunEffu1.1.fa,21,238972964,32.79,Monocots,Poales,Juncus,effusus
lpjunbufo.153,627881,95643174,153,0.297335189,155_1,planta,lpJunBufo1.hap1.1.fa,53,757351878,33.44,Monocots,Poales,Juncus,bufonius
lpjunsqua.158,157934,24806576,158,0.464686305,155_2,planta,lpJunSqua1.hap1.1.fa,20,318470165,36.71,Monocots,Poales,Juncus,squarrosus
lpelequin.82,483017,39162022,82,0.338484137,80_1,planta,lpEleQuin1.1.fa,67,495377314,34.8,Monocots,Poales,Eleocharis,quinqueflora
lpcypfusc.244,6242,1518286,244,0.383361266,325_1,planta,lpCypFusc1.hap1.1.fa,18,221969790,34.37,Monocots,Poales,Cyperus,fuscus
lpschlacu.179,45706,8155305,179,0.25437493,183_4,planta,lpSchLacu1.fa,20,479915302,33.18,Monocots,Poales,Schoenoplectus,lacustris
lpschlacu.58,30465,1732094,58,0.550069902,58_10,planta,lpSchLacu1.fa,20,479915302,33.18,Monocots,Poales,Schoenoplectus,lacustris
lpschltriq.181,121202,21804540,181,0.262285912,183_2,planta,lpSchTriq1.1.fa,21,573013785,35.88,Monocots,Poales,Schoenoplectus,triqueter
lpschltriq.58,976109,55563677,58,0.594237151,58_1,planta,lpSchTriq1.1.fa,21,573013785,35.88,Monocots,Poales,Schoenoplectus,triqueter
lpschltabe.181,115967,20885090,181,0.258088336,183_3,planta,lpSchTabe1.hap1.1.fa,21,520198065,33.42,Monocots,Poales,Schoenoplectus,tabernaemontani
lpschltabe.58,157835,8980906,58,0.562585388,58_1,planta,lpSchTabe1.hap1.1.fa,21,520198065,33.42,Monocots,Poales,Schoenoplectus,tabernaemontani
lpcardepa.81,204120,16266283,81,0.385606019,81_2,planta,lpCarDepa1.1.fa,22,699853091,35.57,Monocots,Poales,Carex,depauperata
lperiangu.33,158219,5021007,33,0.404344261,31_5,planta,lpEriAngu1.1.fa,29,428626078,35.79,Monocots,Poales,Eriophorum,angustifolium
lpscisylv.32,20426,627934,32,0.382129247,31_4,planta,lpSciSylv1.hap1.1.fa,31,320572876,34.79,Monocots,Poales,Scirpus,sylvaticus
lpluzpall.125,458803,56760876,125,0.30491806,125_3,planta,lpLuzPall1.1.fa,6,337662232,33.32,Monocots,Poales,Luzula,pallescens
lpluzpall.104,182800,18827798,104,0.365368415,104_2,planta,lpLuzPall1.1.fa,6,337662232,33.32,Monocots,Poales,Luzula,pallescens
lpluzsylv.125,449648,55980831,125,0.284513832,124_1,planta,lpLuzSylv1.1.fa,6,430670785,32.04,Monocots,Poales,Luzula,sylvatica
lpluzsylv.174,166671,28780772,174,0.241304927,174_2,planta,lpLuzSylv1.1.fa,6,430670785,32.04,Monocots,Poales,Luzula,sylvatica
dmthaminu.179,548156,97714769,179,0.346210234,180_1,planta,dmThaMinu1.hap1.1.fa,21,956769253,35.92,Dicots,Ranunculales,Thalictrum,minus
dmaquvulg.329,51495,16877993,329,0.428965095,331_1,planta,dmAquVulg1.hap1.1.fa,7,292563876,37.1,Dicots,Ranunculales,Aquilegia,vulgaris
dmbervulg.180,709899,126847914,180,0.405254864,179_1,planta,dmBerVulg1.1.fa,14,1285247151,38.47,Dicots,Ranunculales,Berberis,vulgaris
dcpolavic.177,51994,9163538,177,0.346482714,172_1,planta,dcPolAvic1.1.fa,10,344772133,39.32,Dicots,Caryophyllales,Polygonum,aviculare
dcspemari.175,186350,32396919,175,0.309889863,178_1,planta,dcSpeMari1.1.fa,18,492047008,37.23,Dicots,Caryophyllales,Spergularia,marina
dcmoetrin.169,314100,52656997,169,0.249783576,169_1,planta,dcMoeTrin1.hap1.1.fa,12,1229603558,36.3,Dicots,Caryophyllales,Moehringia,trinervia
dcareserp.169,146273,24596822,169,0.335928906,170_2,planta,dcAreSerp1.hap1.1.fa,20,709948659,35.62,Dicots,Caryophyllales,Arenaria,serpyllifolia
dcpoltetr.375,46178,17281914,375,0.333012336,382_3,planta,dcPolTetr1.hap1.1.fa,32,1250027411,36.82,Dicots,Caryophyllales,Polycarpon,tetraphyllum
dcpoltetr.136,67564,9134485,136,0.323353113,138_4,planta,dcPolTetr1.hap1.1.fa,32,1250027411,36.82,Dicots,Caryophyllales,Polycarpon,tetraphyllum
dcpoltetr.449,8372,3746516,449,0.324114555,429_2,planta,dcPolTetr1.hap1.1.fa,32,1250027411,36.82,Dicots,Caryophyllales,Polycarpon,tetraphyllum
dcastglyc.166,88737,14595147,165,0.376544067,171_1,planta,drAstGlyc1.1.fa,8,678299607,36.82,Dicots,Fabales,Astragalus,glycyphyllos
drmedarab.169,56484,9461576,169,0.30948542,169_1,planta,drMedArab1.1.fa,8,511136221,33.88,Dicots,Fabales,Medicago,arabica
drtrifrag.345,4989,1716440,345,0.306540148,348_8,planta,drTriFrag1.1.fa,8,511654535,33.69,Dicots,Fabales,Trifolium,fragiferum
drtrifrag.580,4006,2319780,580,0.294799228,683_9,planta,drTriFrag1.1.fa,8,511654535,33.69,Dicots,Fabales,Trifolium,fragiferum
drtrifrag.182,8628,1564859,182,0.330025954,183_4,planta,drTriFrag1.1.fa,8,511654535,33.69,Dicots,Fabales,Trifolium,fragiferum
drtrifrag.621,2209,1368596,621,0.331182607,626_1,planta,drTriFrag1.1.fa,8,511654535,33.69,Dicots,Fabales,Trifolium,fragiferum
drtrifrag.163,17101,2772671,163,0.533897381,166_3,planta,drTriFrag1.1.fa,8,511654535,33.69,Dicots,Fabales,Trifolium,fragiferum
dhquerobu.146,167213,24217418,146,0.335471694,146_1,planta,dhQueRobu3.1.fa,12,784363130,35.56,Dicots,Fagales,Quercus,robur
dhcorcolu.306,95770,29164874,306,0.473770785,306_1,planta,dhCorColu1.hap1.1.fa,11,373487413,36.87,Dicots,Fagales,Corylus,colurna
drparjuda.357,46759,16650860,357,0.304735451,359_2,planta,drParJuda1.1.fa,13,531872878,37.05,Dicots,Rosales,Parietaria,judaica
drpotanse.155,24677,3675124,150,0.353741824,150_1,planta,drPotAnse1.1.fa,7,208315276,38.01,Dicots,Rosales,Potentilla,anserina
drroscani.158,261308,41133018,158,0.338629393,130_3,planta,rosCan_S27_v1.fasta.F2B.ChrOnly.fa,35,2414078640,39.03,Dicots,Rosales,Rosa,canina
drgeuriva.159,235532,37296954,159,0.346572138,159_1,planta,drGeuRiva1.hap1.1.fa,21,1026047559,39.68,Dicots,Rosales,Geum,rivale
drchaangu.216,260697,57029272,220,0.297421628,216_3,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.435,2924,1268850,435,0.301386387,436_15,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.887,7658,6783268,887,0.348408378,887_5,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.1204,992,1192904,1204,0.389920068,1219_20,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.1348,4770,6425325,1348,0.3287192,1368_11,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.1771,3527,6244246,1771,0.3481593,1825_8,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.1170,2835,3314436,1170,0.358562704,1204_10,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.1064,1520,1616289,1064,0.314229723,1090_41,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
drchaangu.1499,1589,2379622,1499,0.350841279,1546_9,planta,drChaAngu1.1.fa,18,633522186,37.23,Dicots,Myrtales,Chamaenerion,angustifolium
ddbarvulg.383,39724,15170279,383,0.376739487,410_2,planta,ddBarVulg1.1.fa,8,245431741,37.82,Dicots,Brassicales,Barbarea,vulgaris
ddarathal.178,79791,14088984,178,0.377030403,178_1,planta,ddAraThal4.1.fa,5,136757799,36.38,Dicots,Brassicales,Arabidopsis,thaliana
ddpopnigr.143,35632,5075708,143,0.494666705,144_2,planta,ddPopNigr1.1.fa,19,413104843,34.95,Dicots,Malpighiales,Populus,nigra
ddpopnigr.208,8407,1743150,208,0.370755934,212_3,planta,ddPopNigr1.1.fa,19,413104843,34.95,Dicots,Malpighiales,Populus,nigra
ddpopnigr.70,20659,1418498,70,0.554242419,70_4,planta,ddPopNigr1.1.fa,19,413104843,34.95,Dicots,Malpighiales,Populus,nigra
ddpopnigr.196,1390,271679,196,0.458206284,213_10,planta,ddPopNigr1.1.fa,19,413104843,34.95,Dicots,Malpighiales,Populus,nigra
ddpopnigr.235,2992,699802,235,0.445816133,213_7,planta,ddPopNigr1.1.fa,19,413104843,34.95,Dicots,Malpighiales,Populus,nigra
ddeuppepu.156,131031,20311620,156,0.421972635,159_1,planta,ddEupPepu3.1.fa,8,276816529,35.48,Dicots,Malpighiales,Euphorbia,peplus
ddmerannu.93,154513,14143411,93,0.40202842,99_2,planta,ddMerAnnu1.1.fa,8,447674853,33.66,Dicots,Malpighiales,Mercurialis,annua
drhedheli.159,45101,7108273,159,0.361331536,160_1,planta,drHedHeli1.1.fa,24,1196889883,32.63,Dicots,Apiales,Hedera,helix
ddhotpalu.167,138338,22973121,167,0.424772419,168_3,planta,ddHotPalu2.hap1.1.fa,11,1957791860,35.82,Dicots,Ericales,Hottonia,palustris
datanvulg.174,13703,2369055,174,0.324567582,179_19,planta,daTanVulg1.hap1.1.fa,9,4477225170,35.92,Dicots,Asterales,Tanacetum,vulgare
daarcminu.153,28144,4290816,153,0.377854861,157_3,planta,daArcMinu1.1.fa,18,1902128499,36.53,Dicots,Asterales,Arctium,minus
daarcminu.417,2104,875216,417,0.327140918,450_4,planta,daArcMinu1.1.fa,18,1902128499,36.53,Dicots,Asterales,Arctium,minus
dalyceuro.296,4259,1257193,296,0.369897251,298_3,planta,daLycEuro1.1.fa,11,394601287,38.06,Dicots,Lamiales,Lycopus,europaeus
dalyceuro.779,795,618396,779,0.360612478,807_4,planta,daLycEuro1.1.fa,11,394601287,38.06,Dicots,Lamiales,Lycopus,europaeus
dalyceuro.512,2996,1530907,512,0.600169805,513_1,planta,daLycEuro1.1.fa,11,394601287,38.06,Dicots,Lamiales,Lycopus,europaeus
dalyceuro.984,614,603838,984,0.402314577,1054_3,planta,daLycEuro1.1.fa,11,394601287,38.06,Dicots,Lamiales,Lycopus,europaeus
dascugale.125,171015,21127231,125,0.286180084,124_1,planta,daScuGale1.1.fa,15,327661284,33.34,Dicots,Lamiales,Scutellaria,galericulata
dabalnigr.86,52529,4451440,86,0.245054079,86_2,planta,daBalNigr1.1.fa,11,1186648255,37.54,Dicots,Lamiales,Ballota,nigra
damisoron.129,31645,4057625,129,0.361155221,123_2,planta,daMisOron1.1.fa,8,359811040,35.7,Dicots,Lamiales,Misopates,orontium
dalinvulg.250,54418,13507606,249,0.361188753,266_9,planta,daLinVulg1.1.fa,6,756312191,38.06,Dicots,Lamiales,Linaria,vulgaris
dashearve.39,70715,2670374,39,0.305629175,39_2,planta,daSheArve1.1.fa,11,440939310,38.37,Dicots,Gentianales,Sherardia,arvensis
