qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore
icQueLate_ENA|OZ202138|OZ202138.1_000096.1	Homo_sapiens_HSAP011513_CENPA_CenpA	47.727	88	181	140	2.76e-21	73.9
icQueLate_ENA|OZ202138|OZ202138.1_000096.1	Mus_musculus_MMUS037970_Cenpa_CenpA	43.182	88	181	134	7.05e-20	70.1
icQueLate_ENA|OZ202138|OZ202138.1_000096.1	Danio_rerio_DRER013080_CENPA_CenpA	45.570	79	181	145	6.05e-19	67.8
icQueLate_ENA|OZ202138|OZ202138.1_000095.1	Mus_musculus_MMUS037970_Cenpa_CenpA	33.871	124	160	134	1.38e-16	60.8
icQueLate_ENA|OZ202138|OZ202138.1_000095.1	Homo_sapiens_HSAP011513_CENPA_CenpA	42.500	80	160	140	2.36e-16	60.5
icQueLate_ENA|OZ202138|OZ202138.1_000095.1	Danio_rerio_DRER013080_CENPA_CenpA	36.842	76	160	145	3.50e-11	46.6
icNicInve_ENA|OY735145|OY735145.1_001118.1	Danio_rerio_DRER013080_CENPA_CenpA	42.857	84	149	145	5.50e-21	72.0
icNicInve_ENA|OY735145|OY735145.1_001118.1	Homo_sapiens_HSAP011513_CENPA_CenpA	43.678	87	149	140	1.07e-19	68.6
icNicInve_ENA|OY735145|OY735145.1_001118.1	Mus_musculus_MMUS037970_Cenpa_CenpA	39.773	88	149	134	9.79e-19	66.2
icNicInve_ENA|OY735145|OY735145.1_000124.1	Homo_sapiens_HSAP011513_CENPA_CenpA	46.237	93	177	140	2.32e-22	76.6
icNicInve_ENA|OY735145|OY735145.1_000124.1	Danio_rerio_DRER013080_CENPA_CenpA	44.318	88	177	145	2.10e-21	74.3
icNicInve_ENA|OY735145|OY735145.1_000124.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	45.349	86	177	288	1.41e-19	72.0
icSilAtra2_chr_5_001094.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	43.023	86	172	288	4.07e-21	75.9
icSilAtra2_chr_5_001094.1	Danio_rerio_DRER013080_CENPA_CenpA	43.023	86	172	145	9.86e-21	72.4
icSilAtra2_chr_5_001094.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.000	95	172	140	5.97e-19	67.4
icSilAtra2_chr_5_001090.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	43.023	86	174	288	7.14e-21	75.5
icSilAtra2_chr_5_001090.1	Danio_rerio_DRER013080_CENPA_CenpA	42.169	83	174	145	2.04e-19	68.9
icSilAtra2_chr_5_001090.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.909	88	174	140	1.45e-17	63.9
icSilAtra2_chr_5_001091.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	44.186	86	172	288	1.71e-21	77.0
icSilAtra2_chr_5_001091.1	Danio_rerio_DRER013080_CENPA_CenpA	41.463	82	172	145	4.13e-20	70.5
icSilAtra2_chr_5_001091.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.909	88	172	140	4.00e-19	67.8
icSilAtra2_chr_5_001095.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	44.186	86	170	288	1.37e-21	77.4
icSilAtra2_chr_5_001095.1	Danio_rerio_DRER013080_CENPA_CenpA	40.625	96	170	145	2.05e-20	71.2
icSilAtra2_chr_5_001095.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.909	88	170	140	8.50e-19	67.0
icAgrMuri1_chr_X_001432.1	Danio_rerio_DRER013080_CENPA_CenpA	42.553	94	130	145	1.59e-24	80.5
icAgrMuri1_chr_X_001432.1	Homo_sapiens_HSAP011513_CENPA_CenpA	47.727	88	130	140	4.11e-22	74.3
icAgrMuri1_chr_X_001432.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	34.711	121	130	288	1.72e-21	75.5
icAgrMuri1_chr_1_001435.1	Danio_rerio_DRER013080_CENPA_CenpA	45.652	92	168	145	7.37e-27	87.8
icAgrMuri1_chr_1_001435.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.000	88	168	140	1.02e-23	79.7
icAgrMuri1_chr_1_001435.1	Mus_musculus_MMUS037970_Cenpa_CenpA	43.137	102	168	134	4.77e-22	75.1
icRhaFulv1_chr_4_001423.1	Danio_rerio_DRER013080_CENPA_CenpA	40.217	92	163	145	6.24e-23	77.8
icRhaFulv1_chr_4_001423.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	37.500	112	163	288	5.05e-21	75.5
icRhaFulv1_chr_4_001423.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	38.739	111	163	225	7.00e-21	73.9
icPodAlpi1_chr_4_001967.1	Danio_rerio_DRER013080_CENPA_CenpA	38.043	92	172	145	2.13e-21	73.9
icPodAlpi1_chr_4_001967.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	44.828	87	172	225	3.44e-21	75.1
icPodAlpi1_chr_4_001967.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	38.793	116	172	288	1.62e-20	74.3
icCanRust1_chr_5_001214.1	Danio_rerio_DRER013080_CENPA_CenpA	34.188	117	163	145	1.34e-21	74.3
icCanRust1_chr_5_001214.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	44.828	87	163	225	2.60e-21	75.1
icCanRust1_chr_5_001214.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	36.434	129	163	288	8.15e-21	75.1
icAgrCyan_ENA|OX376705|OX376705.1_000328.1	Homo_sapiens_HSAP011513_CENPA_CenpA	55.172	87	147	140	1.22e-29	94.4
icAgrCyan_ENA|OX376705|OX376705.1_000328.1	Danio_rerio_DRER013080_CENPA_CenpA	44.262	122	147	145	1.60e-29	94.0
icAgrCyan_ENA|OX376705|OX376705.1_000328.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.857	119	147	134	2.15e-27	88.2
icCetAura_ENA|OX421884|OX421884.1_001655.1	Danio_rerio_DRER013080_CENPA_CenpA	37.821	156	151	145	5.93e-29	92.8
icCetAura_ENA|OX421884|OX421884.1_001655.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.474	95	151	140	1.92e-27	88.6
icCetAura_ENA|OX421884|OX421884.1_001655.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.441	136	151	134	1.44e-26	86.3
icMelMelo1_chunk1_chr_2_007509.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.562	89	155	140	9.25e-27	87.0
icMelMelo1_chunk1_chr_2_007509.1	Danio_rerio_DRER013080_CENPA_CenpA	38.938	113	155	145	2.71e-25	83.6
icMelMelo1_chunk1_chr_2_007509.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.373	118	155	134	2.77e-23	78.2
icMelMelo1_chunk1_chr_2_000315.1	Homo_sapiens_HSAP011513_CENPA_CenpA	54.118	85	159	140	2.92e-28	91.3
icMelMelo1_chunk1_chr_2_000315.1	Danio_rerio_DRER013080_CENPA_CenpA	39.823	113	159	145	4.02e-26	85.9
icMelMelo1_chunk1_chr_2_000315.1	Mus_musculus_MMUS037970_Cenpa_CenpA	48.235	85	159	134	2.10e-23	78.6
icMelMelo1_chunk1_chr_2_002670.1	Danio_rerio_DRER013080_CENPA_CenpA	38.393	112	154	145	1.52e-21	73.9
icMelMelo1_chunk1_chr_2_002670.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.351	77	154	140	5.20e-21	72.4
icMelMelo1_chunk1_chr_2_002670.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	45.055	91	154	288	1.24e-19	71.2
icHarAxyr1_chr_5_000796.1	Homo_sapiens_HSAP011513_CENPA_CenpA	37.681	138	203	140	5.86e-20	70.9
icHarAxyr1_chr_5_000796.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	27.895	190	203	225	9.13e-19	69.7
icHarAxyr1_chr_5_000796.1	Danio_rerio_DRER013080_CENPA_CenpA	42.353	85	203	145	1.45e-18	67.4
icCocSept1_chr_5_001216.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	27.879	165	181	225	2.32e-17	65.1
icCocSept1_chr_5_001216.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	37.778	90	181	288	8.14e-16	61.6
icCocSept1_chr_5_001216.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.476	84	181	140	1.04e-15	59.3
icAgoFuli_ENA|OX384032|OX384032.1_000698.1	Danio_rerio_DRER013080_CENPA_CenpA	53.333	60	132	145	5.93e-20	68.9
icAgoFuli_ENA|OX384032|OX384032.1_000698.1	Homo_sapiens_HSAP011513_CENPA_CenpA	60.377	53	132	140	9.07e-20	68.2
icAgoFuli_ENA|OX384032|OX384032.1_000698.1	Mus_musculus_MMUS037970_Cenpa_CenpA	32.061	131	132	134	8.45e-19	65.9
icOphArdo1_chr_15_000012.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.451	91	136	140	1.23e-27	88.6
icOphArdo1_chr_15_000012.1	Mus_musculus_MMUS037970_Cenpa_CenpA	48.837	86	136	134	5.88e-26	84.3
icOphArdo1_chr_15_000012.1	Danio_rerio_DRER013080_CENPA_CenpA	51.765	85	136	145	3.26e-25	82.8
icOphArdo1_chr_12_001024.1	Homo_sapiens_HSAP011513_CENPA_CenpA	46.465	99	138	140	2.40e-27	88.2
icOphArdo1_chr_12_001024.1	Mus_musculus_MMUS037970_Cenpa_CenpA	47.727	88	138	134	4.20e-25	82.0
icOphArdo1_chr_12_001024.1	Danio_rerio_DRER013080_CENPA_CenpA	49.425	87	138	145	1.48e-24	80.9
icOphArdo1_chr_9_001253.1	Homo_sapiens_HSAP011513_CENPA_CenpA	47.423	97	136	140	3.65e-30	95.1
icOphArdo1_chr_9_001253.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.000	130	136	134	1.62e-27	88.2
icOphArdo1_chr_9_001253.1	Danio_rerio_DRER013080_CENPA_CenpA	50.588	85	136	145	4.58e-26	84.7
icPteMadi1_chr_5_000656.1	Homo_sapiens_HSAP011513_CENPA_CenpA	51.042	96	150	140	5.49e-29	92.8
icPteMadi1_chr_5_000656.1	Mus_musculus_MMUS037970_Cenpa_CenpA	48.352	91	150	134	2.41e-25	83.2
icPteMadi1_chr_5_000656.1	Danio_rerio_DRER013080_CENPA_CenpA	46.591	88	150	145	2.20e-24	80.9
icCarProb_ENA|OY728582|OY728582.1_000098.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.643	112	148	140	9.50e-30	94.7
icCarProb_ENA|OY728582|OY728582.1_000098.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	49.474	95	148	225	5.69e-26	87.0
icCarProb_ENA|OY728582|OY728582.1_000098.1	Danio_rerio_DRER013080_CENPA_CenpA	47.826	92	148	145	9.93e-24	79.3
icNebSali1_chr_9_000388.1	Homo_sapiens_HSAP011513_CENPA_CenpA	52.083	96	173	140	6.49e-30	95.9
icNebSali1_chr_9_000388.1	Mus_musculus_MMUS037970_Cenpa_CenpA	47.059	102	173	134	9.29e-25	82.4
icNebSali1_chr_9_000388.1	Danio_rerio_DRER013080_CENPA_CenpA	50.000	88	173	145	8.77e-24	80.1
icNebBrev1_chr_10_000503.1	Homo_sapiens_HSAP011513_CENPA_CenpA	54.444	90	173	140	4.00e-30	96.3
icNebBrev1_chr_10_000503.1	Danio_rerio_DRER013080_CENPA_CenpA	53.488	86	173	145	1.35e-25	84.7
icNebBrev1_chr_10_000503.1	Mus_musculus_MMUS037970_Cenpa_CenpA	51.648	91	173	134	1.38e-25	84.7
icLeiSpin1_chr_3_000647.1	Homo_sapiens_HSAP011513_CENPA_CenpA	30.625	160	243	140	2.79e-18	67.4
icLeiSpin1_chr_3_000647.1	Danio_rerio_DRER013080_CENPA_CenpA	54.902	51	243	145	2.65e-16	62.0
icLeiSpin1_chr_3_000647.1	Danio_rerio_DRER013080_CENPA_CenpA	31.081	74	243	145	1.08e-06	35.0
icLeiSpin1_chr_3_000647.1	Mus_musculus_MMUS037970_Cenpa_CenpA	56.250	48	243	134	8.05e-16	60.5
icNebBrev1_chr_6_000513.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.474	95	126	140	3.36e-28	89.7
icNebBrev1_chr_6_000513.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	51.220	82	126	225	1.39e-23	80.1
icNebBrev1_chr_6_000513.1	Mus_musculus_MMUS037970_Cenpa_CenpA	48.864	88	126	134	7.78e-23	75.9
icNebBrev1_chr_6_000281.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.263	95	83	140	2.98e-24	77.8
icNebBrev1_chr_6_000281.1	Danio_rerio_DRER013080_CENPA_CenpA	44.706	85	83	145	1.22e-19	66.2
icNebBrev1_chr_6_000281.1	Mus_musculus_MMUS037970_Cenpa_CenpA	41.304	92	83	134	3.17e-19	65.1
icNebSali1_chr_18_000201.1	Homo_sapiens_HSAP011513_CENPA_CenpA	55.056	89	161	140	2.74e-31	99.0
icNebSali1_chr_18_000201.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	52.439	82	161	225	4.89e-25	85.1
icNebSali1_chr_18_000201.1	Mus_musculus_MMUS037970_Cenpa_CenpA	48.837	86	161	134	4.90e-25	82.8
icNebBrev1_chr_12_000214.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.526	95	168	140	3.54e-31	99.0
icNebBrev1_chr_12_000214.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	45.872	109	168	225	5.43e-25	85.1
icNebBrev1_chr_12_000214.1	Mus_musculus_MMUS037970_Cenpa_CenpA	47.674	86	168	134	7.23e-25	82.4
idStoLuna1_chr_3_001452.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	39.200	125	167	225	2.06e-21	75.5
idStoLuna1_chr_3_001452.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	46.018	113	167	288	2.03e-20	73.9
idStoLuna1_chr_3_001452.1	Homo_sapiens_HSAP011513_CENPA_CenpA	43.023	86	167	140	6.45e-20	69.7
idBelPand1_chr_4_000362.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	35.664	143	154	225	3.49e-20	72.0
idBelPand1_chr_4_000362.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.217	92	154	140	1.68e-19	68.2
idBelPand1_chr_4_000362.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	38.060	134	154	288	1.61e-18	68.2
idPolAmen1_chr_5_003564.1	Mus_musculus_MMUS037970_Cenpa_CenpA	41.935	93	148	134	1.87e-21	73.2
idPolAmen1_chr_5_003564.1	Homo_sapiens_HSAP011513_CENPA_CenpA	39.000	100	148	140	6.64e-21	71.6
idPolAmen1_chr_5_003564.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	35.606	132	148	225	1.28e-18	67.8
idPolAmen1_chr_3_001301.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	50.685	73	174	225	3.56e-18	67.4
idPolAmen1_chr_3_001301.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.946	74	174	140	7.39e-16	59.3
idPolAmen1_chr_3_001301.1	Mus_musculus_MMUS037970_Cenpa_CenpA	41.463	82	174	134	1.17e-15	58.5
idProAzur1_chr_5_002429.1	Homo_sapiens_HSAP011513_CENPA_CenpA	47.674	86	165	140	1.14e-21	74.3
idProAzur1_chr_5_002429.1	Mus_musculus_MMUS037970_Cenpa_CenpA	37.500	128	165	134	1.32e-21	73.9
idProAzur1_chr_5_002429.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	48.148	81	165	225	9.51e-20	71.2
idProAzur1_chr_5_001012.1	Homo_sapiens_HSAP011513_CENPA_CenpA	47.674	86	165	140	1.03e-21	74.3
idProAzur1_chr_5_001012.1	Mus_musculus_MMUS037970_Cenpa_CenpA	37.705	122	165	134	5.46e-21	72.4
idProAzur1_chr_5_001012.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	48.148	81	165	225	5.32e-20	72.0
idMelRora_ENA|OY757189|OY757189.1_001146.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	38.400	125	180	225	2.06e-18	68.2
idMelRora_ENA|OY757189|OY757189.1_001146.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.426	94	180	140	7.59e-18	64.7
idMelRora_ENA|OY757189|OY757189.1_001146.1	Mus_musculus_MMUS037970_Cenpa_CenpA	32.520	123	180	134	3.43e-17	62.8
idHydCyrt_ENA|OY282513|OY282513.1_000785.1	Homo_sapiens_HSAP011513_CENPA_CenpA	42.553	94	176	140	4.78e-21	73.2
idHydCyrt_ENA|OY282513|OY282513.1_000785.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	39.130	115	176	225	1.09e-19	71.2
idHydCyrt_ENA|OY282513|OY282513.1_000785.1	Mus_musculus_MMUS037970_Cenpa_CenpA	35.252	139	176	134	4.81e-19	67.8
idPhyMeln1_chr_3_003265.1	Homo_sapiens_HSAP011513_CENPA_CenpA	40.698	86	180	140	6.20e-19	67.8
idPhyMeln1_chr_3_003265.1	Mus_musculus_MMUS037970_Cenpa_CenpA	36.559	93	180	134	2.43e-17	63.2
idPhyMeln1_chr_3_003265.1	Drosophila_melanogaster_DMEL028507_cid-PA_CenpA	31.169	154	180	225	3.78e-17	64.7
iyLasVill_ENA|OZ020497|OZ020497.1_000536.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.631	103	114	140	2.35e-24	79.3
iyLasVill_ENA|OZ020497|OZ020497.1_000536.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	44.828	87	114	288	8.62e-22	75.9
iyLasVill_ENA|OZ020497|OZ020497.1_000536.1	Mus_musculus_MMUS037970_Cenpa_CenpA	48.864	88	114	134	8.91e-22	72.8
iyAthRosa1_chr_2_002289.1	Danio_rerio_DRER013080_CENPA_CenpA	50.877	114	145	145	1.14e-27	89.4
iyAthRosa1_chr_2_002289.1	Homo_sapiens_HSAP011513_CENPA_CenpA	55.682	88	145	140	2.36e-27	88.2
iyAthRosa1_chr_2_002289.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	45.545	101	145	288	2.94e-26	89.0
iyAbiCand_ENA|OZ125712|OZ125712.1_000871.1	Homo_sapiens_HSAP011513_CENPA_CenpA	57.143	98	141	140	4.17e-34	105
iyAbiCand_ENA|OZ125712|OZ125712.1_000871.1	Mus_musculus_MMUS037970_Cenpa_CenpA	50.820	122	141	134	6.71e-32	99.8
iyAbiCand_ENA|OZ125712|OZ125712.1_000871.1	Danio_rerio_DRER013080_CENPA_CenpA	52.041	98	141	145	7.96e-30	94.7
iyRhoChlo1_chr_4_000722.1	Homo_sapiens_HSAP011513_CENPA_CenpA	62.500	88	142	140	9.23e-33	102
iyRhoChlo1_chr_4_000722.1	Danio_rerio_DRER013080_CENPA_CenpA	54.167	96	142	145	8.14e-32	99.8
iyRhoChlo1_chr_4_000722.1	Mus_musculus_MMUS037970_Cenpa_CenpA	50.376	133	142	134	1.27e-31	99.0
iyMacAlbo_ENA|OX451212|OX451212.1_000425.1	Danio_rerio_DRER013080_CENPA_CenpA	57.292	96	141	145	4.53e-33	102
iyMacAlbo_ENA|OX451212|OX451212.1_000425.1	Homo_sapiens_HSAP011513_CENPA_CenpA	59.091	88	141	140	2.58e-31	98.2
iyMacAlbo_ENA|OX451212|OX451212.1_000425.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	49.074	108	141	288	1.05e-30	100
iyAncNigr1_rescue8	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	51.136	88	103	288	1.10e-24	83.2
iyAncNigr1_rescue8	Danio_rerio_DRER013080_CENPA_CenpA	45.098	102	103	145	6.29e-24	78.2
iyAncNigr1_rescue8	Homo_sapiens_HSAP011513_CENPA_CenpA	48.276	87	103	140	7.49e-23	75.1
iyTipFemo1_chr_5_000920.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	46.316	95	138	288	1.73e-25	86.7
iyTipFemo1_chr_5_000920.1	Danio_rerio_DRER013080_CENPA_CenpA	48.936	94	138	145	4.61e-25	82.4
iyTipFemo1_chr_5_000920.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.000	88	138	140	8.29e-25	81.6
iyPriPert_ENA|OZ012653|OZ012653.1_000800.1	Homo_sapiens_HSAP011513_CENPA_CenpA	43.519	108	134	140	2.53e-25	82.8
iyPriPert_ENA|OZ012653|OZ012653.1_000800.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.945	127	134	134	5.56e-25	81.6
iyPriPert_ENA|OZ012653|OZ012653.1_000800.1	Danio_rerio_DRER013080_CENPA_CenpA	46.729	107	134	145	1.40e-24	80.9
iyAnoNige1_chr_7_000861.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	45.600	125	136	288	8.49e-31	100
iyAnoNige1_chr_7_000861.1	Danio_rerio_DRER013080_CENPA_CenpA	43.750	112	136	145	2.29e-28	90.9
iyAnoNige1_chr_7_000861.1	Homo_sapiens_HSAP011513_CENPA_CenpA	48.936	94	136	140	7.39e-27	86.7
iyOphLute1_chr_2_000535.1	Mus_musculus_MMUS037970_Cenpa_CenpA	60.417	48	144	134	1.87e-16	60.1
iyOphLute1_chr_2_000535.1	Homo_sapiens_HSAP011513_CENPA_CenpA	53.704	54	144	140	3.06e-16	59.7
iyOphLute1_chr_2_000535.1	Danio_rerio_DRER013080_CENPA_CenpA	38.889	108	144	145	3.80e-15	56.6
iyBuaLabo1_chr_5_000387.1	Mus_musculus_MMUS037970_Cenpa_CenpA	43.182	132	141	134	3.66e-26	85.1
iyBuaLabo1_chr_5_000387.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.794	107	141	140	1.32e-25	83.6
iyBuaLabo1_chr_5_000387.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	41.732	127	141	288	1.83e-24	84.0
iyVulBima_ENA|OZ249107|OZ249107.1_000472.1	Mus_musculus_MMUS037970_Cenpa_CenpA	46.154	117	141	134	7.46e-26	84.3
iyVulBima_ENA|OZ249107|OZ249107.1_000472.1	Danio_rerio_DRER013080_CENPA_CenpA	42.636	129	141	145	8.21e-26	84.3
iyVulBima_ENA|OZ249107|OZ249107.1_000472.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	49.495	99	141	288	7.84e-25	85.1
iyAmbArma2_chr_12_000278.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	51.136	88	98	288	1.89e-24	82.0
iyAmbArma2_chr_12_000278.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.000	94	98	140	3.02e-24	78.6
iyAmbArma2_chr_12_000278.1	Danio_rerio_DRER013080_CENPA_CenpA	51.111	90	98	145	1.47e-23	77.0
iyMimDahl1_chr_13_000168.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	48.718	117	133	288	9.89e-28	92.4
iyMimDahl1_chr_13_000168.1	Homo_sapiens_HSAP011513_CENPA_CenpA	45.455	110	133	140	1.49e-26	85.9
iyMimDahl1_chr_13_000168.1	Danio_rerio_DRER013080_CENPA_CenpA	53.846	91	133	145	1.78e-25	83.2
iyEctCont1_chr_7_000268.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	54.255	94	123	288	1.52e-28	94.0
iyEctCont1_chr_7_000268.1	Danio_rerio_DRER013080_CENPA_CenpA	50.000	98	123	145	6.60e-28	89.0
iyEctCont1_chr_7_000268.1	Homo_sapiens_HSAP011513_CENPA_CenpA	48.936	94	123	140	5.47e-23	76.3
iyNysSpin1_chr_14_000228.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	50.505	99	130	288	5.07e-27	90.5
iyNysSpin1_chr_14_000228.1	Homo_sapiens_HSAP011513_CENPA_CenpA	46.809	94	130	140	6.18e-25	81.6
iyNysSpin1_chr_14_000228.1	Mus_musculus_MMUS037970_Cenpa_CenpA	51.136	88	130	134	1.18e-24	80.5
iyPemLugu_ENA|OW121818|OW121818.1_000487.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	51.136	88	139	288	8.67e-25	84.7
iyPemLugu_ENA|OW121818|OW121818.1_000487.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.000	88	139	140	4.22e-24	79.7
iyPemLugu_ENA|OW121818|OW121818.1_000487.1	Danio_rerio_DRER013080_CENPA_CenpA	42.735	117	139	145	3.91e-21	72.4
iyCerRyby1_chr_6_000352.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	49.495	99	161	288	5.12e-27	91.7
iyCerRyby1_chr_6_000352.1	Danio_rerio_DRER013080_CENPA_CenpA	47.573	103	161	145	4.60e-26	85.9
iyCerRyby1_chr_6_000352.1	Mus_musculus_MMUS037970_Cenpa_CenpA	44.828	116	161	134	1.36e-24	81.6
iyMacEuro1_chr_9_000238.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	48.485	99	134	288	1.01e-26	89.7
iyMacEuro1_chr_9_000238.1	Danio_rerio_DRER013080_CENPA_CenpA	47.368	114	134	145	1.11e-26	86.3
iyMacEuro1_chr_9_000238.1	Homo_sapiens_HSAP011513_CENPA_CenpA	44.444	108	134	140	3.49e-25	82.4
iyAndDors1_rescue9	Homo_sapiens_HSAP011513_CENPA_CenpA	54.023	87	109	140	1.04e-26	85.1
iyAndDors1_rescue9	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	45.133	113	109	288	1.06e-25	85.9
iyAndDors1_rescue9	Mus_musculus_MMUS037970_Cenpa_CenpA	47.312	93	109	134	1.09e-23	77.4
iyNomFabr1_chr_2_000082.1	Mus_musculus_MMUS037970_Cenpa_CenpA	46.094	128	135	134	4.43e-30	94.7
iyNomFabr1_chr_2_000082.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.000	100	135	140	2.03e-28	90.5
iyNomFabr1_chr_2_000082.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	50.505	99	135	288	1.38e-27	92.0
iyBomHypn1_chr_11_000788.1	Homo_sapiens_HSAP011513_CENPA_CenpA	49.495	99	133	140	9.55e-26	83.6
iyBomHypn1_chr_11_000788.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	46.602	103	133	288	5.71e-25	85.1
iyBomHypn1_chr_11_000788.1	Mus_musculus_MMUS037970_Cenpa_CenpA	44.444	117	133	134	9.61e-24	78.6
iyStePhae1_chr_4_000572.1	Homo_sapiens_HSAP011513_CENPA_CenpA	50.505	99	135	140	7.18e-29	91.7
iyStePhae1_chr_4_000572.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	52.525	99	135	288	2.35e-27	91.3
iyStePhae1_chr_4_000572.1	Danio_rerio_DRER013080_CENPA_CenpA	48.352	91	135	145	1.49e-23	78.2
iyCoeConi_ENA|OX392454|OX392454.1_000765.1	Homo_sapiens_HSAP011513_CENPA_CenpA	46.154	117	126	140	2.94e-27	87.4
iyCoeConi_ENA|OX392454|OX392454.1_000765.1	Caenorhabditis_elegans_CELE018214_hcp-3_CenpA	47.475	99	126	288	2.37e-24	83.2
iyCoeConi_ENA|OX392454|OX392454.1_000765.1	Mus_musculus_MMUS037970_Cenpa_CenpA	40.833	120	126	134	6.80e-22	73.6
qeLepCurv_ENA|OZ194356|OZ194356.1_000945.1	Danio_rerio_DRER013080_CENPA_CenpA	51.724	116	152	145	1.19e-37	115
qeLepCurv_ENA|OZ194356|OZ194356.1_000945.1	Homo_sapiens_HSAP011513_CENPA_CenpA	54.545	88	152	140	3.99e-31	98.2
qeLepCurv_ENA|OZ194356|OZ194356.1_000945.1	Mus_musculus_MMUS037970_Cenpa_CenpA	42.478	113	152	134	1.30e-29	94.4
xbGarTell2_chr_18_000052.1	Danio_rerio_DRER013080_CENPA_CenpA	69.767	43	50	145	1.46e-21	69.7
